Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
3,94,PIT,Cameron Sutton,SuttCa00,CB,22,2021,0,0,1,11,11,68,0,0,0,0,0,0,0,0,0,0,0,108,5,2.0,Tennessee,
3,95,SEA,Lano Hill,HillDe02,S,21,2020,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,41,,,Michigan,
3,96,DET,Kenny Golladay,GollKe00,WR,23,2021,0,1,4,26,23,61,0,0,0,0,0,2,17,0,220,3589,21,,,,Northern Illinois,
3,97,MIA,Cordrea Tankersley,TankCo00,CB,23,2020,0,0,1,4,4,19,0,0,0,0,0,0,0,0,0,0,0,28,,,Clemson,
3,98,ARI,Chad Williams,WillCh05,WR,22,2019,0,0,1,1,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,Grambling St.,
3,99,PHI,Rasul Douglas,DougRa00,CB,23,2021,0,0,1,15,8,72,0,0,0,0,0,0,0,0,0,0,0,197,10,,West Virginia,
3,100,TEN,Jonnu Smith,SmitJo01,TE,22,2021,0,0,5,14,11,76,0,0,0,0,0,15,122,1,142,1596,17,,,,Florida International,
3,101,DEN,Brendan Langley,LangBr00,CB,22,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,6,,,Lamar,
3,102,SEA,Nazair Jones,JoneNa00,DT,22,2018,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,12,1,2.0,North Carolina,
3,103,NOR,Trey Hendrickson,HendTr00,OLB,22,2021,0,1,2,23,12,61,0,0,0,0,0,0,0,0,0,0,0,68,,34.0,Florida Atlantic,
3,104,SFO,C.J. Beathard,BeatC.00,QB,23,2021,0,0,0,8,8,21,293,499,3502,18,13,52,235,4,0,0,0,,,,Iowa,
