Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
5,154,NYJ,Michael Carter,CartMi02,S,22,2021,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,45,,1.0,Duke,
5,155,SFO,Jaylon Moore,MoorJa04,T,23,2021,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,
5,156,PIT,Isaiahh Loudermilk,LoudIs00,DE,23,2021,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,16,,1.0,Wisconsin,
5,157,MIN,Ihmir Smith-Marsette,SmitIh00,WR,22,2021,0,0,0,1,1,8,0,0,0,0,0,0,0,0,5,116,2,,,,Iowa,
5,158,CAR,Daviyon Nixon,NixoDa00,DT,22,2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,Iowa,
5,159,LAC,Brenden Jaimes,JaimBr00,OL,22,2021,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,
5,160,BAL,Shaun Wade,WadeSh00,CB,22,2021,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,
5,161,BUF,Tommy Doyle,DoylTo00,OL,23,2021,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH),
5,162,KAN,Noah Gray,GrayNo00,TE,22,2021,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,36,1,,,,Duke,
5,163,WAS,Darrick Forrest,ForrDa00,S,22,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Cincinnati,
5,164,DEN,Jamar Johnson,JohnJa15,DB,21,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,
5,165,IND,Shawn Davis,DaviSh02,DB,22,2021,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,
5,166,CAR,Keith Taylor,TaylKe03,DB,22,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,31,,,Washington,
5,167,LVR,Nate Hobbs,HobbNa00,CB,22,2021,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,51,1,1.0,Illinois,
5,168,MIN,Zach Davidson,DaviZa00,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Missouri St.,
5,169,CLE,Richard LeCounte,LeCoRi00,DB,22,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,2,,,Georgia,
5,170,HOU,Garret Wallow,WallGa00,LB,22,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,15,,1.0,TCU,
5,171,BAL,Daelin Hayes,HayeDa00,DL,23,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
5,172,SFO,Deommodore Lenoir,LenoDe00,CB,21,2021,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,12,,,Oregon,
5,173,GNB,Tedarrell Slaton,SlatTe00,DL,23,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,14,,1.0,Florida,
5,174,LAR,Earnest Brown IV,BrowEa00,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Northwestern,
5,175,NYJ,Jason Pinnock,PinnJa01,CB,22,2021,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,10,,,Pittsburgh,
5,176,TAM,K.J. Britt,BritKJ00,LB,22,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,7,,,Auburn,
5,177,NWE,Cameron McGrone,McGrCa00,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,
5,178,GNB,Shemar Jean-Charles,JeanSh00,DB,23,2021,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,5,,,Appalachian St.,
5,179,DAL,Simi Fehoko,FehoSi00,WR,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,
5,180,SFO,Talanoa Hufanga,HufaTa00,S,22,2021,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,24,,,USC,
5,181,KAN,Cornell Powell,PoweCo00,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,
5,182,ATL,Adetokunbo Ogundeji,OgunAd01,DL,22,2021,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,18,,1.0,Notre Dame,
5,183,ATL,Avery Williams,WillAv02,CB,23,2021,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,11,,,Boise St.,
5,184,BAL,Ben Mason,MasoBe00,FB,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,
6,185,LAC,Nick Niemann,NiemNi00,LB,23,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,15,1,,Iowa,
6,186,NYJ,Hamsah Nasirildeen,NasiHa00,DB,22,2021,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,3,,,Florida St.,
6,187,ATL,Frank Darby,DarbFr00,WR,23,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,14,0,,,,Arizona St.,
6,188,NWE,Joshuah Bledsoe,BledJo00,S,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,
6,189,PHI,Marlon Tuipulotu,TuipMa00,DL,22,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,
6,190,CIN,Trey Hill,HillTr03,OL,21,2021,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,
6,191,PHI,Tarron Jackson,JackTa02,DE,23,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,Coastal Carolina,
6,192,DAL,Quinton Bohanna,BohaQu00,DT,22,2021,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,3,,,Kentucky,
6,193,CAR,Deonte Brown,BrowDe06,OL,23,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,
6,194,SFO,Elijah Mitchell,MitcEl00,RB,23,2021,0,0,0,7,7,11,0,0,0,0,0,207,963,5,19,137,1,,,,Louisiana,
6,195,HOU,Roy Lopez,LopeRo00,DL,24,2021,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,20,,1.0,Arizona,
6,196,NYG,Gary Brightwell,BrigGa00,RB,22,2021,0,0,0,0,0,13,0,0,0,0,0,1,4,0,1,6,0,2,,,Arizona,
6,197,NWE,William Sherman,SherWi01,OL,22,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado,
6,198,LAC,Larry Rountree,RounLa00,RB,22,2021,0,0,0,1,1,12,0,0,0,0,0,36,87,1,1,-1,0,,,,Missouri,
6,199,MIN,Jaylen Twyman,TwymJa00,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,
6,200,NYJ,Brandin Echols,EchoBr00,CB,23,2021,0,0,1,4,4,14,0,0,0,0,0,0,0,0,0,0,0,50,2,,Kentucky,
6,201,NYG,Rodarius Williams,WillRo07,CB,24,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.,
6,202,CIN,Chris Evans,EvanCh02,RB,23,2021,0,0,0,2,2,14,0,0,0,0,0,17,77,0,15,151,2,4,,,Michigan,
6,203,BUF,Marquez Stevenson,StevMa00,WR,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Houston,
6,204,CAR,Shi Smith,SmitSh03,WR,22,2021,0,0,0,1,1,6,0,0,0,0,0,1,-3,0,6,104,0,1,,,South Carolina,
